name,year,price,currency,mileage (km),fuel type,disp (cm3),city,link
BMW Seria 7 730d,2001.0,16500.0,PLN,260000.0,Diesel,2926.0,Skawina,https://www.otomoto.pl/oferta/bmw-seria-7-bmw-7-730d-3-0d-automat-2001r-skora-webasto-led-3d-alu-19-ID6DakEJ.html#b00c7476dd
Volkswagen Passat CC 2.0,2009.0,29999.0,PLN,255000.0,Diesel,1968.0,Starogard Gdański,https://www.otomoto.pl/oferta/volkswagen-passat-cc-2-0-tdicommonraildsgxenonnaviwebastomocca-kolorpelen-serwis-ID6DByG7.html#b00c7476dd
Volvo S60 2.4,2007.0,24900.0,PLN,213000.0,Benzyna,2435.0,Zawiercie,https://www.otomoto.pl/oferta/volvo-s60-2-4-benzyna-serwisowany-1-wlasciciel-oplacony-film-dostawa-ID6DCoA4.html#b00c7476dd
Mercedes-Benz Klasa E 320,2006.0,21500.0,PLN,270000.0,Diesel,2987.0,Wrocław,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-mercedes-benz-klasa-e320-lift-ID6DxEUv.html#b00c7476dd
Opel Insignia 1.8,2008.0,25999.0,PLN,215000.0,Benzyna,1796.0,Pionki,https://www.otomoto.pl/oferta/opel-insignia-1-8-benzyna-bezwypadkowy-super-stan-zarejestrowany-w-pl-ID6DByo2.html#b00c7476dd
Honda Accord 2.4,2007.0,25900.0,PLN,156000.0,Benzyna,2354.0,Poznań,https://www.otomoto.pl/oferta/honda-accord-polift-automat-aktywny-tempomat-xenon-de-oplacony-ID6DCony.html#b00c7476dd
Peugeot 407 HDi,2010.0,15990.0,PLN,189675.0,Diesel,1997.0,Nowy Sącz,https://www.otomoto.pl/oferta/peugeot-407-2-0hdi-140km-salon-pljeden-wl-klimatronalu-ID6DCoi2.html#0d5974c775
Mitsubishi Lancer,2010.0,25000.0,PLN,120483.0,Diesel,1798.0,Zabrze,https://www.otomoto.pl/oferta/mitsubishi-lancer-1-8-di-d-salon-polska-serwis-aso-klimatronic-tempomat-ID6DAzn7.html#0d5974c775
BMW Seria 5 535d,2004.0,22300.0,PLN,321000.0,Diesel,2993.0,Pruszków,https://www.otomoto.pl/oferta/bmw-seria-5-535d-biturbo-272hp-komforty-navipro-oryginalny-lakier-ID6DATwk.html#0d5974c775
Toyota Avensis 1.6,2011.0,26900.0,PLN,264200.0,Benzyna,1598.0,Łochów,https://www.otomoto.pl/oferta/toyota-avensis-benzyna-polski-salon-jeden-wlasciciel-serwis-aso-ID6DBxlF.html#0d5974c775
BMW Seria 3,2007.0,18300.0,PLN,180722.0,Benzyna,1995.0,Bielany Wrocławskie,https://www.otomoto.pl/oferta/bmw-seria-3-318-i-klima-parktronic-podgrzewane-siedzienia-alu-ID6DAzi5.html#0d5974c775
Dacia Logan MCV,2017.0,28900.0,PLN,67778.0,Benzyna,999.0,Łask,https://www.otomoto.pl/oferta/dacia-logan-laureate-sce-bezwypadkowa-parktronik-klimatyzacja-ID6DBvMw.html#0d5974c775
Audi A4 2.0,2008.0,30000.0,PLN,174000.0,Diesel,1968.0,Łobżenica,https://www.otomoto.pl/oferta/audi-a4-ID6DqHbb.html#0d5974c775
Mercedes-Benz Klasa E 200,2007.0,28900.0,PLN,220000.0,Benzyna,1796.0,Kartuzy,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-200-benzyna-po-liftingu-w211-unikat-bialy-z-jasnym-wnetrzem-ID6Dy1A5.html#0d5974c775
