name,year,price,currency,mileage (km),fuel type,disp (cm3),city,link
BMW Seria 3 320i,2008.0,24000.0,PLN,212000.0,Benzyna,1995.0,Łukanowice,https://www.otomoto.pl/oferta/bmw-seria-3-sprzedam-ID6DBFVy.html#256f3e2281
BMW Seria 3 320i,2006.0,19400.0,PLN,133000.0,Benzyna,1995.0,Psary,https://www.otomoto.pl/oferta/bmw-seria-3-szyberdach-nawigacja-stan-bdb-ID6DBIb1.html#256f3e2281
Volkswagen Passat 1.8,2009.0,16999.0,PLN,230735.0,Benzyna,1798.0,Poznań,https://www.otomoto.pl/oferta/volkswagen-passat-lift-1-8tsi-160km-skora-alcantara-duza-anvi-salonpl-gwarancja-ID6DBIyf.html#256f3e2281
Audi A4,2001.0,16500.0,PLN,283000.0,Benzyna+LPG,2976.0,Gomunice,https://www.otomoto.pl/oferta/audi-a4-audi-a4-3-0-quattro-warte-uwagi-ID6DBHVN.html#256f3e2281
BMW Seria 5 535i,2002.0,23900.0,PLN,204000.0,Benzyna,3498.0,Nowy Sącz,https://www.otomoto.pl/oferta/bmw-seria-5-535i-v8-stan-kolekcjonerski-nawigacja-zero-rdzy-unikat-ID6DtXvY.html#256f3e2281
Audi A6 2.4,2004.0,22900.0,PLN,212600.0,Benzyna,2393.0,Września,https://www.otomoto.pl/oferta/audi-a6-2-4-v6-177ps-navi-mmi-dvd-xenon-led-klimatronik-pdc-zadbana-ID6DBHOd.html#347f4842a6
Mercedes-Benz Klasa C 180,2006.0,18900.0,PLN,200000.0,Benzyna,1796.0,Ciechocinek,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-swiezosprowadzony-sportedition-xenon-skora-navi-tempomat-perelka-ID6Dqt8y.html#347f4842a6
Škoda Octavia 1.6,2012.0,19000.0,PLN,186000.0,Benzyna+LPG,1595.0,Baranówka,https://www.otomoto.pl/oferta/skoda-octavia-ID6DxECw.html#347f4842a6
Opel Vectra 1.8,2008.0,18900.0,PLN,147000.0,Benzyna,1796.0,Wrocław,https://www.otomoto.pl/oferta/opel-vectra-jeden-wl-100-bezwypadek-xenon-ID6DBHb2.html#347f4842a6
Audi A6,2001.0,18999.0,PLN,280000.0,Benzyna,4172.0,Elbląg,https://www.otomoto.pl/oferta/audi-a6-lift-quattro-a6-4-2-v8-czarny-sedan-jasny-srodek-alcantara-ID6DBF7x.html#347f4842a6
Toyota Avensis 1.8,2007.0,19900.0,PLN,179000.0,Benzyna,1794.0,Brańszczyk,https://www.otomoto.pl/oferta/toyota-avensis-1-8-vvti-129km-bezwypadkowy-tylko-179tys-km-ID6DABz3.html#347f4842a6
Honda Accord 2.4,2004.0,22900.0,PLN,181000.0,Benzyna,2354.0,Jedlińsk,https://www.otomoto.pl/oferta/honda-accord-w-super-stanie-szwajcar-oryginal-type-s-ID6DBF33.html#347f4842a6
Fiat Tipo 1.4,2017.0,24477.0,PLN,139655.0,Benzyna+LPG,1368.0,Warszawa,https://www.otomoto.pl/oferta/fiat-tipo-fiat-tipo-1-4-lpg-2017-r-cesja-leasingu-ID6DvNZ2.html#347f4842a6
